SKU,Encontrado,Stock,Stock Futuro
NBAPJ522204-RED,SI,0,0
NBAPJ522204-PUR,SI,0,0
NBAPJ522203-GRY,SI,0,16
NBAPT522213-BLK1,SI,0,0
NBAPT522213-BLU,SI,0,0
NBAPT522213-BLK,SI,0,0
NBAPT522213-GRY,SI,0,0
NBAPT522213-PUR,SI,0,0
NBAPT522213-RED,SI,0,0
NBAPT522214-BLK3,SI,0,0
NBAPT522214-BLK2,SI,0,15
NBAPT522214-BLK1,SI,0,14
NBAPT522214-BLK,SI,0,12
NBAHD522214-BLK2,SI,0,0
NBAHD522214-GRN,SI,0,0
NBAHD522214-BUR,SI,0,0
NBAHD522214-PUR,SI,0,0
NBAHD522214-BLK1,SI,0,0
NBAHD522214-BLK,SI,0,0
NBASW522214-BLK1,SI,0,0
NBASW522214-BLK,SI,0,0
NBASW522214-BLU,SI,0,0
NBASW522214-GRY,SI,0,0
NBASW522214-RED,SI,0,0
NBASW522214-PUR,SI,0,0
NBATT522222-BLK,SI,0,5
NBATS622223-BLK,SI,0,4
NBACJ622220-LHB,SI,0,0
NBACJ622220-BLK2,SI,0,0
NBACJ622220-GRY,SI,0,0
NBACJ622220-BLK1,SI,0,0
NBACJ622220-PUR,SI,0,0
NBACJ622220-LIL,SI,0,0
NBACJ622220-PNK,SI,0,0
NBACJ622220-BLK,SI,0,0
NBASB622221-BLK,SI,0,0
NBASB622221-BLU,SI,0,0
NBASB622221-GRY,SI,0,0
NBASB622221-PUR,SI,0,0
NBACT622221-BLK1,SI,0,0
NBACT622221-LHB,SI,0,0
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
NBATS523118-WHT3,SI,0,0
NBATS523118-BLK4,SI,0,0
NBASH523110-BLK1,SI,0,0
NBASH523110-BLK,SI,0,0
NFLTS523107-WHT3,SI,0,0
NFLTS523107-BLK2,SI,0,0
NFLHD523107-NVY,SI,0,0
PSGCA323107-NVY,SI,0,2
PSGTS323111-BLK,SI,0,0
NBASB622220-BLK2,SI,0,0
NBASB622220-BLK,SI,0,0
NBASB622220-BLK1,SI,0,0
NBASB622220-PUR,SI,0,0
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBAPJ622270-PUR,SI,0,0
NBAPJ622270-BLK,SI,0,0
SOUSO522203K-BLK,NO,0,0
SOUSO522205K-GRY,NO,0,0
SOUSO522206K-PUR,NO,0,0
DFLCT7231002-GRN,NO,0,0
PSGSB32207S-BLK,NO,0,0
